account,sourceip,destip,sourceport,destport
179057445562,10.1.23.40,10.1.243.235,16681,80
179057445562,10.1.79.67,10.1.162.30,34626,9000
179057445562,10.1.240.139,10.1.210.137,12719,443
179057445562,10.1.106.35,10.1.135.77,20428,53
179057445562,10.1.168.35,10.1.173.193,61703,53
179057445562,10.1.232.46,10.1.117.146,27411,9000
179057445562,10.1.63.59,10.1.204.36,13629,22
179057445562,10.1.245.163,10.1.97.96,40491,8080
179057445562,10.1.173.156,10.1.154.235,43444,9000
179057445562,10.1.70.196,10.1.142.152,61122,80
179057445562,10.1.207.12,10.1.189.188,19177,22
179057445562,10.1.233.187,10.1.95.185,21061,80
179057445562,10.1.168.61,10.1.181.207,33935,443
179057445562,10.1.169.140,10.1.119.116,54919,8080
179057445562,10.1.110.126,10.1.82.252,37659,443
179057445562,10.1.149.250,10.1.15.181,34328,80
179057445562,10.1.173.210,10.1.28.171,41502,8080
179057445562,10.1.90.21,10.1.187.195,29830,9000
179057445562,10.1.68.250,10.1.234.72,13892,53
179057445562,10.1.161.156,10.1.218.226,59841,8080
179057445562,10.1.133.83,10.1.126.27,49986,53
179057445562,10.1.201.96,10.1.29.213,54556,443
179057445562,10.1.84.18,10.1.68.136,20632,8080
179057445562,10.1.43.148,10.1.180.67,48773,80
179057445562,10.1.102.124,10.1.155.204,25585,9000
179057445562,10.1.75.191,10.1.36.248,54143,22
179057445562,10.1.11.231,10.1.72.141,36911,9000
179057445562,10.1.41.144,10.1.56.98,12268,443
179057445562,10.1.95.101,10.1.189.210,27607,22
179057445562,10.1.137.218,10.1.138.21,14834,53
179057445562,10.1.131.35,10.1.144.197,10926,80
179057445562,10.1.231.233,10.1.73.196,33803,8080
179057445562,10.1.63.235,10.1.114.119,65059,22
179057445562,10.1.235.142,10.1.158.88,29824,22
179057445562,10.1.98.236,10.1.37.99,49867,9000
179057445562,10.1.47.99,10.1.195.148,56639,22
179057445562,10.1.103.46,10.1.88.127,13546,53
179057445562,10.1.140.89,10.1.73.128,64413,8080
179057445562,10.1.69.22,10.1.60.129,17647,53
179057445562,10.1.123.225,10.1.244.246,13747,22
179057445562,10.1.118.99,10.1.131.244,40224,53
179057445562,108.161.138.152,10.1.131.244,27482,80
179057445562,188.146.131.155,10.1.131.244,21820,8080
179057445562,134.119.193.57,10.1.131.244,12022,22
179057445562,129.144.62.179,10.1.131.244,35790,9000
179057445562,108.161.138.152,10.1.131.244,14275,9000
179057445562,87.251.74.56,10.1.131.244,53362,80
179057445562,10.1.131.244,54.202.255.47,35470,8080
179057445562,10.1.131.244,76.102.124.169,47525,80
179057445562,10.1.131.244,129.144.62.179,23364,443
179057445562,10.1.131.244,52.88.186.130,36813,8080
179057445562,10.1.131.244,76.102.124.169,20483,22
179057445562,10.1.131.244,76.102.124.169,14186,53
179057445562,10.1.131.244,104.197.230.188,19814,80
179057445562,10.1.131.244,34.218.47.231,20241,8080
179057445562,10.1.131.244,52.88.186.130,41953,9000
245602016558,10.2.228.112,10.2.240.177,25221,22
245602016558,10.2.241.127,10.2.151.209,64974,8080
245602016558,10.2.35.29,10.2.162.225,41751,8080
245602016558,10.2.253.187,10.2.195.250,19365,443
245602016558,10.2.214.194,10.2.187.13,25607,53
245602016558,10.2.216.76,10.2.202.145,14061,8080
245602016558,10.2.102.89,10.2.216.187,39130,443
245602016558,10.2.99.118,10.2.135.134,43094,8080
245602016558,10.2.182.75,10.2.186.180,48291,22
245602016558,10.2.172.62,10.2.154.44,18056,8080
245602016558,10.2.169.189,10.2.195.58,11962,443
245602016558,10.2.28.152,10.2.49.81,50698,22
245602016558,10.2.30.195,10.2.197.129,35277,53
245602016558,10.2.185.188,10.2.18.191,25242,443
245602016558,10.2.228.86,10.2.109.134,18701,22
245602016558,10.2.149.112,10.2.84.104,15458,9000
245602016558,10.2.78.107,10.2.151.251,47244,80
245602016558,10.2.130.124,10.2.220.157,32650,80
245602016558,10.2.40.250,10.2.26.94,39970,8080
245602016558,10.2.222.94,10.2.205.197,31193,8080
245602016558,10.2.148.164,10.2.83.170,23648,53
245602016558,10.2.172.208,10.2.229.18,16756,8080
245602016558,10.2.60.109,10.2.100.248,23602,9000
245602016558,10.2.117.190,10.2.249.182,24410,8080
245602016558,10.2.118.119,10.2.200.87,56799,443
245602016558,10.2.13.30,10.2.245.184,16890,9000
245602016558,10.2.136.164,10.2.212.220,55302,9000
245602016558,10.2.134.110,10.2.94.153,61391,53
245602016558,10.2.215.179,10.2.220.28,41430,53
245602016558,10.2.216.100,10.2.48.57,17440,22
245602016558,10.2.69.16,10.2.120.136,55355,80
245602016558,10.2.129.234,10.2.250.213,10907,53
245602016558,10.2.159.48,10.2.184.107,16339,80
245602016558,10.2.142.44,10.2.243.218,24535,8080
245602016558,10.2.50.27,10.2.167.83,22356,443
245602016558,10.2.54.246,10.2.106.113,31823,443
245602016558,10.2.83.87,10.2.254.13,54590,22
245602016558,10.2.143.53,10.2.100.124,25666,9000
245602016558,10.2.83.237,10.2.124.127,10646,22
245602016558,10.2.17.112,10.2.77.12,24390,53
245602016558,10.2.44.96,10.2.71.67,33584,8080
245602016558,10.2.57.185,10.2.215.139,12534,443
245602016558,10.2.76.158,10.2.118.250,31533,80
245602016558,10.2.214.38,10.2.205.40,58280,443
245602016558,10.2.252.40,10.2.176.191,32779,53
245602016558,10.2.104.129,10.2.237.174,63378,80
245602016558,10.2.219.24,10.2.225.13,34514,53
245602016558,10.2.95.42,10.2.45.194,55562,22
245602016558,10.2.92.151,10.2.64.22,23972,9000
245602016558,10.2.71.50,10.2.214.154,16889,443
245602016558,10.2.220.46,10.2.173.82,40678,22
245602016558,10.2.58.55,10.2.240.131,28330,80
245602016558,10.2.251.157,10.2.165.175,46223,80
245602016558,10.2.210.162,10.2.177.204,49950,22
245602016558,10.2.103.19,10.2.93.234,40061,8080
245602016558,10.2.67.97,10.2.126.248,51342,53
245602016558,10.2.58.168,10.2.142.221,55870,443
245602016558,10.2.117.247,10.2.86.213,36262,80
245602016558,10.2.85.137,10.2.105.103,17079,80
245602016558,10.2.125.149,10.2.63.148,44082,443
245602016558,34.217.108.226,10.2.63.148,42883,53
245602016558,10.2.63.148,103.125.191.136,55331,80
245602016558,10.2.63.148,34.216.163.39,41472,443
245602016558,10.2.63.148,34.216.163.39,32080,443
245602016558,10.2.63.148,54.245.68.218,22630,9000
245602016558,10.2.63.148,13.80.137.40,11933,53
245602016558,10.2.63.148,76.102.124.169,51488,53
245602016558,10.2.63.148,51.15.82.93,51580,80
245602016558,10.2.63.148,104.197.230.188,37936,53
245602016558,10.2.63.148,34.216.163.39,25449,8080
245602016558,10.2.63.148,188.146.131.155,51979,80
254994440073,10.3.213.102,10.3.100.90,34802,9000
254994440073,10.3.163.214,10.3.224.222,19133,80
254994440073,10.3.154.53,10.3.245.90,34516,9000
254994440073,10.3.200.117,10.3.243.15,58819,22
254994440073,10.3.143.26,10.3.160.41,39223,443
254994440073,10.3.67.185,10.3.138.46,23032,22
254994440073,10.3.78.136,10.3.224.131,20199,22
254994440073,10.3.72.242,10.3.48.78,50404,9000
254994440073,10.3.128.17,10.3.63.189,61295,9000
254994440073,10.3.152.221,10.3.116.107,47364,9000
254994440073,10.3.53.31,10.3.165.68,58426,9000
254994440073,10.3.45.207,10.3.245.51,61375,53
254994440073,10.3.212.137,10.3.179.121,12274,9000
254994440073,10.3.33.203,10.3.66.61,26856,22
254994440073,10.3.144.68,10.3.171.102,11027,53
254994440073,10.3.79.169,10.3.215.241,50231,9000
254994440073,10.3.230.103,10.3.120.66,15735,8080
254994440073,10.3.37.222,10.3.136.30,21983,9000
254994440073,10.3.234.28,10.3.115.253,33694,22
254994440073,10.3.168.208,10.3.229.250,54677,8080
254994440073,10.3.81.41,10.3.185.73,27702,80
254994440073,10.3.21.38,10.3.137.102,10934,80
254994440073,10.3.247.209,10.3.126.247,46793,80
254994440073,10.3.211.19,10.3.93.119,32657,8080
254994440073,34.216.78.37,10.3.93.119,25551,22
254994440073,129.144.62.179,10.3.93.119,62818,8080
254994440073,188.146.131.155,10.3.93.119,34836,443
254994440073,13.80.137.40,10.3.93.119,32252,53
254994440073,10.3.93.119,188.146.131.155,24200,8080
254994440073,10.3.93.119,129.144.62.179,51245,80
254994440073,10.3.93.119,76.102.124.169,34996,9000
386561855954,10.4.239.241,10.4.186.239,16860,443
386561855954,10.4.106.75,10.4.82.235,41329,443
386561855954,10.4.132.62,10.4.49.251,50630,8080
386561855954,10.4.62.122,10.4.219.115,21817,443
386561855954,10.4.46.71,10.4.138.19,25374,22
386561855954,10.4.92.236,10.4.119.37,40728,443
386561855954,10.4.237.24,10.4.208.13,13790,9000
386561855954,10.4.104.164,10.4.107.242,35535,22
386561855954,10.4.250.216,10.4.93.80,39424,443
386561855954,10.4.25.131,10.4.184.147,53956,443
386561855954,10.4.225.217,10.4.160.47,18514,53
386561855954,10.4.236.196,10.4.219.44,10317,80
386561855954,10.4.51.249,10.4.205.134,58479,22
386561855954,10.4.63.251,10.4.17.93,45314,53
386561855954,10.4.150.145,10.4.140.178,31588,53
386561855954,10.4.32.27,10.4.85.176,32493,9000
386561855954,10.4.186.190,10.4.107.158,49285,443
386561855954,10.4.14.190,10.4.103.50,55027,8080
386561855954,10.4.91.67,10.4.209.238,51544,80
386561855954,10.4.226.154,10.4.44.53,42807,8080
386561855954,10.4.146.68,10.4.148.56,25731,443
386561855954,10.4.51.251,10.4.52.109,25411,22
386561855954,10.4.231.157,10.4.104.18,39697,443
386561855954,10.4.110.146,10.4.166.161,47737,22
386561855954,10.4.42.38,10.4.242.246,42462,53
386561855954,10.4.213.115,10.4.239.168,16795,22
386561855954,10.4.52.207,10.4.124.254,33886,22
386561855954,10.4.165.129,10.4.36.24,32377,443
386561855954,10.4.91.248,10.4.132.195,59474,8080
386561855954,10.4.124.136,10.4.132.197,15518,53
386561855954,10.4.26.30,10.4.145.29,29883,443
386561855954,10.4.46.37,10.4.88.228,61074,22
386561855954,10.4.248.179,10.4.168.85,38546,53
386561855954,10.4.84.248,10.4.199.99,19088,22
386561855954,10.4.206.212,10.4.139.238,42673,443
386561855954,10.4.82.176,10.4.101.93,12459,53
386561855954,10.4.141.93,10.4.211.89,51569,443
386561855954,10.4.151.212,10.4.138.209,40606,22
386561855954,10.4.236.233,10.4.38.30,41055,80
386561855954,10.4.45.50,10.4.199.140,22084,80
386561855954,10.4.168.244,10.4.137.45,20417,80
386561855954,10.4.16.232,10.4.107.66,25005,443
386561855954,10.4.179.172,10.4.34.209,31494,9000
386561855954,10.4.230.76,10.4.46.170,18619,9000
386561855954,10.4.189.169,10.4.247.158,49795,22
386561855954,10.4.207.146,10.4.227.21,14583,443
386561855954,10.4.184.60,10.4.26.123,42977,8080
386561855954,10.4.27.175,10.4.127.246,20105,80
386561855954,10.4.96.159,10.4.133.224,31760,22
386561855954,10.4.73.48,10.4.112.73,55263,443
386561855954,10.4.136.145,10.4.226.247,29960,8080
386561855954,10.4.98.31,10.4.183.67,26715,22
386561855954,10.4.177.159,10.4.104.170,23779,53
386561855954,10.4.83.22,10.4.35.179,47176,80
386561855954,10.4.241.228,10.4.13.159,12520,22
386561855954,205.185.123.210,10.4.13.159,37284,443
386561855954,108.161.138.152,10.4.13.159,14880,9000
386561855954,51.15.82.93,10.4.13.159,47215,80
386561855954,54.245.68.218,10.4.13.159,60195,53
386561855954,142.105.57.15,10.4.13.159,38610,22
386561855954,10.4.13.159,142.105.57.15,20195,8080
386561855954,10.4.13.159,76.102.124.169,37454,8080
386561855954,10.4.13.159,129.144.62.179,59795,8080
386561855954,10.4.13.159,117.52.87.230,52497,8080
386561855954,10.4.13.159,129.144.62.179,26695,80
386561855954,10.4.13.159,129.144.62.179,25620,9000
386561855954,10.4.13.159,87.251.74.56,31496,8080
402540259551,10.5.247.241,10.5.98.72,43404,22
402540259551,10.5.239.209,10.5.241.51,37185,443
402540259551,10.5.139.133,10.5.238.47,55378,443
402540259551,10.5.84.52,10.5.102.53,14545,443
402540259551,10.5.211.55,10.5.226.19,25297,22
402540259551,10.5.42.105,10.5.244.106,19042,80
402540259551,10.5.187.229,10.5.62.191,36828,22
402540259551,10.5.60.178,10.5.199.113,11507,22
402540259551,10.5.124.237,10.5.178.61,49763,443
402540259551,10.5.24.219,10.5.228.129,63428,9000
402540259551,10.5.57.60,10.5.28.209,41122,22
402540259551,129.144.62.179,10.5.28.209,11115,443
402540259551,54.202.255.47,10.5.28.209,55017,9000
402540259551,13.80.137.40,10.5.28.209,18026,9000
402540259551,103.226.248.72,10.5.28.209,19251,80
402540259551,52.88.186.130,10.5.28.209,44419,443
402540259551,13.80.137.40,10.5.28.209,43203,443
402540259551,10.5.28.209,103.226.248.72,60086,22
405505205089,10.6.183.17,10.6.240.34,40367,22
405505205089,10.6.229.144,10.6.107.236,38525,9000
405505205089,10.6.187.139,10.6.199.202,44500,80
405505205089,10.6.214.231,10.6.191.80,21220,80
405505205089,10.6.52.88,10.6.66.172,27861,8080
405505205089,10.6.192.227,10.6.238.193,46457,9000
405505205089,10.6.35.251,10.6.246.67,29468,80
405505205089,10.6.86.96,10.6.56.97,43008,22
405505205089,10.6.135.230,10.6.198.179,64365,53
405505205089,10.6.214.48,10.6.53.14,54662,80
405505205089,10.6.58.72,10.6.33.199,52943,22
405505205089,10.6.171.83,10.6.63.34,10429,80
405505205089,10.6.197.53,10.6.72.11,45810,22
405505205089,10.6.157.47,10.6.204.72,41134,8080
405505205089,10.6.34.227,10.6.41.17,58960,53
405505205089,10.6.120.117,10.6.170.251,31839,80
405505205089,10.6.119.93,10.6.94.103,55889,9000
405505205089,10.6.156.252,10.6.131.205,48624,8080
405505205089,10.6.143.123,10.6.123.224,32490,22
405505205089,10.6.70.213,10.6.242.81,30636,8080
405505205089,10.6.201.184,10.6.56.159,51577,9000
405505205089,10.6.128.174,10.6.33.96,24102,8080
405505205089,10.6.190.230,10.6.44.142,27428,22
405505205089,10.6.209.87,10.6.126.16,11204,53
405505205089,10.6.29.180,10.6.237.48,44610,80
405505205089,10.6.237.111,10.6.155.194,55834,80
405505205089,10.6.32.162,10.6.138.79,58439,80
405505205089,10.6.177.243,10.6.184.225,48068,53
405505205089,10.6.124.59,10.6.65.214,24651,9000
405505205089,10.6.81.51,10.6.246.239,25531,443
405505205089,10.6.65.158,10.6.86.14,47954,443
405505205089,10.6.217.71,10.6.160.133,56286,8080
405505205089,10.6.183.219,10.6.137.176,38654,22
405505205089,10.6.249.50,10.6.150.44,42746,9000
405505205089,40.70.134.175,10.6.150.44,60699,53
405505205089,108.161.138.152,10.6.150.44,60896,80
405505205089,87.251.74.56,10.6.150.44,18941,53
405505205089,54.245.68.218,10.6.150.44,58730,443
405505205089,10.6.150.44,52.88.186.130,26737,443
585997585257,10.7.233.224,10.7.65.161,53408,53
585997585257,10.7.245.189,10.7.130.108,19491,80
585997585257,10.7.205.110,10.7.104.236,52040,8080
585997585257,10.7.96.214,10.7.41.107,50237,8080
585997585257,10.7.35.133,10.7.38.245,51604,8080
585997585257,10.7.209.211,10.7.174.141,26284,8080
585997585257,10.7.165.198,10.7.190.204,27158,443
585997585257,10.7.44.41,10.7.59.92,57763,9000
585997585257,10.7.56.62,10.7.113.32,18288,9000
585997585257,10.7.78.123,10.7.88.109,13947,8080
585997585257,10.7.252.229,10.7.81.155,58396,8080
585997585257,10.7.152.157,10.7.174.107,10756,9000
585997585257,10.7.153.178,10.7.198.174,22660,8080
585997585257,10.7.188.88,10.7.55.211,27331,8080
585997585257,10.7.13.249,10.7.196.198,60191,22
585997585257,10.7.49.29,10.7.242.207,52818,22
585997585257,10.7.226.45,10.7.160.230,12013,22
585997585257,10.7.155.26,10.7.23.28,47276,22
585997585257,10.7.118.121,10.7.78.81,36795,9000
585997585257,10.7.11.107,10.7.81.12,39314,80
585997585257,10.7.159.238,10.7.178.86,46890,9000
585997585257,10.7.179.201,10.7.36.192,45131,443
585997585257,10.7.17.90,10.7.252.130,14660,53
585997585257,10.7.230.198,10.7.30.138,37495,443
585997585257,10.7.55.44,10.7.111.28,14977,9000
585997585257,10.7.12.86,10.7.52.40,48021,53
585997585257,10.7.188.197,10.7.126.83,59729,443
585997585257,10.7.162.254,10.7.71.22,14291,80
585997585257,10.7.240.200,10.7.240.132,26827,8080
585997585257,10.7.41.239,10.7.62.138,55495,9000
585997585257,10.7.15.100,10.7.138.134,15965,22
585997585257,10.7.247.38,10.7.201.170,50386,443
585997585257,10.7.161.161,10.7.56.37,48604,9000
585997585257,10.7.154.153,10.7.249.139,51928,80
585997585257,10.7.36.236,10.7.64.59,10944,9000
585997585257,10.7.181.126,10.7.81.136,35664,8080
585997585257,10.7.245.223,10.7.29.212,23920,53
585997585257,10.7.163.207,10.7.81.244,16972,22
585997585257,10.7.170.149,10.7.236.153,57063,53
585997585257,10.7.166.148,10.7.174.227,61558,22
585997585257,10.7.29.239,10.7.81.67,57086,22
585997585257,10.7.246.172,10.7.49.227,16195,9000
585997585257,188.146.131.155,10.7.49.227,18796,22
585997585257,34.217.108.226,10.7.49.227,36059,9000
585997585257,87.251.74.56,10.7.49.227,32305,8080
585997585257,40.70.134.175,10.7.49.227,32088,8080
585997585257,34.216.163.39,10.7.49.227,28901,443
585997585257,134.119.193.57,10.7.49.227,30243,9000
585997585257,10.7.49.227,188.146.131.155,38878,8080
585997585257,10.7.49.227,103.226.248.72,29500,443
630857950297,10.8.216.64,10.8.49.218,41686,8080
630857950297,10.8.66.78,10.8.39.195,57305,80
630857950297,10.8.65.25,10.8.51.38,50792,9000
630857950297,10.8.52.115,10.8.196.107,44710,80
630857950297,10.8.132.46,10.8.144.164,52436,22
630857950297,10.8.115.153,10.8.111.73,30368,8080
630857950297,10.8.236.56,10.8.234.123,45975,80
630857950297,10.8.210.183,10.8.217.134,20803,80
630857950297,10.8.45.168,10.8.34.152,61579,9000
630857950297,10.8.109.20,10.8.73.193,11536,53
630857950297,10.8.17.31,10.8.93.221,38709,9000
630857950297,10.8.14.253,10.8.250.185,54544,9000
630857950297,10.8.147.156,10.8.223.18,18318,80
630857950297,10.8.114.132,10.8.209.195,11462,53
630857950297,10.8.241.11,10.8.253.70,17504,443
630857950297,10.8.125.156,10.8.30.66,61573,8080
630857950297,10.8.223.155,10.8.71.167,35804,80
630857950297,10.8.113.38,10.8.89.19,45762,9000
630857950297,10.8.38.68,10.8.175.50,56221,53
630857950297,10.8.93.25,10.8.43.253,12828,9000
630857950297,10.8.229.221,10.8.11.235,17254,8080
630857950297,10.8.234.131,10.8.232.24,21454,8080
630857950297,10.8.67.145,10.8.196.192,27882,8080
630857950297,10.8.228.125,10.8.254.216,56239,8080
630857950297,10.8.199.93,10.8.81.28,20150,8080
630857950297,10.8.165.160,10.8.24.83,35207,8080
630857950297,10.8.37.119,10.8.219.168,11605,22
630857950297,10.8.155.95,10.8.91.254,55976,53
630857950297,10.8.145.184,10.8.26.61,64596,8080
630857950297,10.8.109.190,10.8.206.57,33324,22
630857950297,10.8.105.100,10.8.86.33,31260,9000
630857950297,10.8.238.180,10.8.198.161,27479,443
630857950297,54.245.68.218,10.8.198.161,42839,9000
630857950297,52.88.186.130,10.8.198.161,54057,8080
630857950297,108.161.138.152,10.8.198.161,47766,80
630857950297,34.217.108.226,10.8.198.161,28113,22
630857950297,117.52.87.230,10.8.198.161,18304,53
630857950297,51.15.82.93,10.8.198.161,28554,8080
630857950297,10.8.198.161,142.105.57.15,24085,80
630857950297,10.8.198.161,108.161.138.152,11626,9000
630857950297,10.8.198.161,111.223.73.130,32564,53
